continent,year,cont_avg_gdp_growth,sd
Europe,2020,-4.724423997001921,3.4105704535431753
Europe,2021,6.679676170300374,4.189509335650073
North America,1990,NA,NA
North America,1991,0.3879386380913664,NA
North America,1992,2.3744991567505584,NA
North America,1993,1.8635353227765856,NA
North America,1994,0.8066477313426198,NA
North America,1995,1.809591390100477,0.8211090777193604
North America,1996,2.0250576334993897,0.5849498890844566
North America,1997,3.154519930885673,0.8350604213115062
North America,1998,2.7035798845984136,0.8998658926116695
North America,1999,2.734993109335621,0.5536815252678801
North America,2000,3.369604182567138,0.5157910727233652
North America,2001,0.6021512405043447,1.1047921928339655
North America,2002,0.9113931968334692,1.2277418406010203
North America,2003,2.3404816484019566,1.190657566423194
North America,2004,2.6787554860072293,1.182115962767682
North America,2005,2.660123622108415,1.0026421944357617
North America,2006,3.641382321037461,0.9868021819715834
North America,2007,2.9158301379403744,0.48876635585740175
North America,2008,1.1217698493887347,0.9191223617191742
North America,2009,-4.1045304414057755,3.1292786596845503
North America,2010,-0.04528749569656607,3.0568905388521914
North America,2011,1.3968999134629148,2.6566380026585743
North America,2012,0.629867212388814,2.250285429520471
North America,2013,0.7699255732750551,2.2036264986166523
North America,2014,1.7400889509442206,0.6957197763048623
North America,2015,1.529750765007083,0.4869115200571238
North America,2016,1.3503908189587122,0.48295555223555203
North America,2017,0.6391779379987332,0.4801984852326424
North America,2018,1.152787310619728,0.42006499225000793
North America,2019,0.8967553016330281,0.3545718417828184
North America,2020,-11.865559213768764,5.764243895291447
North America,2021,5.924387039115995,6.639198107110553
Oceania,1990,NA,NA
Oceania,1991,0.46991257885664905,NA
Oceania,1992,2.580565173588952,NA
Oceania,1993,3.487081433434291,NA
Oceania,1994,3.106769892633373,NA
Oceania,1995,2.0776533751144894,1.1755381272609209
Oceania,1996,-0.20305108496709628,1.4502398724916201
Oceania,1997,-1.029785039494345,2.0101821166323597
Oceania,1998,1.436289500284853,1.682812695083059
Oceania,1999,0.6393019226563457,1.2434033567769778
Oceania,2000,-0.29311102935698713,0.9485269841480669
Oceania,2001,0.4542522240044504,0.9398146588286886
Oceania,2002,1.5350702911192016,0.7541609572454817
Oceania,2003,0.5627780056877334,0.650789398537815
Oceania,2004,0.928908267489218,0.6700282057534275
Oceania,2005,1.6720606510801987,0.5539263096884202
Oceania,2006,1.8074986635919563,0.5320806865896587
Oceania,2007,-0.17240027877621464,0.8164506244888704
Oceania,2008,1.5281838921416493,0.8132432453583824
Oceania,2009,-0.27110503130862296,1.0410272002347296
Oceania,2010,2.6389910727630173,1.2797584254472916
Oceania,2011,3.2086075360761694,1.5879789509568814
Oceania,2012,0.8957294224200337,1.3846758880033299
Oceania,2013,2.9653020054861927,1.50954510341435
Oceania,2014,3.316311961911423,0.9903137886118338
Oceania,2015,3.4678039855170932,1.0640481643340662
Oceania,2016,2.6198046168739437,1.0356788416406149
Oceania,2017,0.9414678373542634,1.0162981342636026
