continent,year,cont_avg_gdp_growth
South America,2020,-3.971158659186246
South America,2021,6.887146392106621
NA,1990,NA
NA,1991,-0.03638487904568729
NA,1992,0.12250912947195368
NA,1993,0.20919247267734323
NA,1994,1.1551027204224877
NA,1995,1.9284133539138832
NA,1996,2.893916687455271
NA,1997,2.7028189545543686
NA,1998,1.2772058946888634
NA,1999,2.066463793667706
NA,2000,3.2254047929801475
NA,2001,1.5351684567230017
NA,2002,1.7831164772352377
NA,2003,2.9330399542658094
NA,2004,4.399321523737585
NA,2005,3.794887022652121
NA,2006,4.334961588415071
NA,2007,4.402406889100218
NA,2008,2.160836367434135
NA,2009,-0.7174891488062447
NA,2010,4.236965082674597
NA,2011,2.8022886252895396
NA,2012,1.9494545411468456
NA,2013,2.263556962340502
NA,2014,2.5864630290552917
NA,2015,2.2901267721502743
NA,2016,2.2689920373361914
NA,2017,2.573784678420919
NA,2018,2.428262884557527
NA,2019,1.7020445168135723
NA,2020,-4.107983701035884
NA,2021,4.792785190966998
